"key","doc_count","female","male"
"1674","0","0","0"
"1675","0","0","0"
"1676","0","0","0"
"1677","0","0","0"
"1678","0","0","0"
"1679","0","0","0"
"1680","0","0","0"
"1681","0","0","0"
"1682","0","0","0"
"1683","0","0","0"
"1684","0","0","0"
"1685","0","0","0"
"1686","0","0","0"
"1687","0","0","0"
"1688","0","0","0"
"1689","0","0","0"
"1690","0","0","0"
"1691","0","0","0"
"1692","0","0","0"
"1693","0","0","0"
"1694","0","0","0"
"1695","0","0","0"
"1696","0","0","0"
"1697","0","0","0"
"1698","0","0","0"
"1699","0","0","0"
"1700","0","0","0"
"1701","0","0","0"
"1702","0","0","0"
"1703","0","0","0"
"1704","0","0","0"
"1705","0","0","0"
"1706","0","0","0"
"1707","0","0","0"
"1708","0","0","0"
"1709","0","0","0"
"1710","0","0","0"
"1711","0","0","0"
"1712","0","0","0"
"1713","0","0","0"
"1714","0","0","0"
"1715","0","0","0"
"1716","0","0","0"
"1717","0","0","0"
"1718","0","0","0"
"1719","0","0","0"
"1720","0","0","0"
"1721","0","0","0"
"1722","0","0","0"
"1723","0","0","0"
"1724","0","0","0"
"1725","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1728","0","0","0"
"1729","0","0","0"
"1730","0","0","0"
"1731","0","0","0"
"1732","0","0","0"
"1733","0","0","0"
"1734","0","0","0"
"1735","0","0","0"
"1736","0","0","0"
"1737","0","0","0"
"1738","0","0","0"
"1739","0","0","0"
"1740","0","0","0"
"1741","0","0","0"
"1742","0","0","0"
"1743","0","0","0"
"1744","0","0","0"
"1745","0","0","0"
"1746","0","0","0"
"1747","0","0","0"
"1748","0","0","0"
"1749","0","0","0"
"1750","0","0","0"
"1751","0","0","0"
"1752","0","0","0"
"1753","0","0","0"
"1754","0","0","0"
"1755","0","0","0"
"1756","0","0","0"
"1757","0","0","0"
"1758","0","0","0"
"1759","0","0","0"
"1760","0","0","0"
"1761","0","0","0"
"1762","0","0","0"
"1763","0","0","0"
"1764","0","0","0"
"1765","0","0","0"
"1766","0","0","0"
"1767","0","0","0"
"1768","0","0","0"
"1769","0","0","0"
"1770","0","0","0"
"1771","0","0","0"
"1772","0","0","0"
"1773","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1776","0","0","0"
"1777","0","0","0"
"1778","0","0","0"
"1779","0","0","0"
"1780","0","0","0"
"1781","0","0","0"
"1782","0","0","0"
"1783","0","0","0"
"1784","0","0","0"
"1785","0","0","0"
"1786","0","0","0"
"1787","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1790","0","0","0"
"1791","0","0","0"
"1792","0","0","0"
"1793","0","0","0"
"1794","0","0","0"
"1795","0","0","0"
"1796","0","0","0"
"1797","0","0","0"
"1798","0","0","0"
"1799","0","0","0"
"1800","28","2","26"
"1801","30","5","25"
"1802","33","3","30"
"1803","26","5","21"
"1804","22","8","14"
"1805","8","0","8"
"1806","15","6","9"
"1807","14","3","11"
"1808","26","3","23"
"1809","22","6","16"
"1810","48","11","37"
"1811","33","6","27"
"1812","25","9","16"
"1813","40","6","34"
"1814","43","10","33"
"1815","46","5","41"
"1816","81","6","75"
"1817","85","6","79"
"1818","90","8","82"
"1819","78","9","69"
"1820","96","4","92"
"1821","68","13","55"
"1822","63","2","61"
"1823","71","10","61"
"1824","85","7","78"
"1825","85","10","75"
"1826","114","8","106"
"1827","93","4","89"
"1828","81","4","77"
"1829","52","6","46"
"1830","47","2","45"
"1831","67","6","61"
"1832","40","1","39"
"1833","48","1","47"
"1834","17","0","17"
"1835","46","1","45"
"1836","32","2","30"
"1837","19","1","18"
"1838","2","0","2"
"1839","9","0","9"
"1840","0","0","0"
"1841","0","0","0"
"1842","3","0","3"
"1843","2","0","2"
"1844","0","0","0"
"1845","1","0","1"
"1846","1","0","1"
"1847","0","0","0"
"1848","1","0","1"
"1849","6","2","4"
"1850","0","0","0"
"1851","2","0","2"
"1852","0","0","0"
"1853","1","0","1"
"1854","0","0","0"
"1855","0","0","0"
"1856","0","0","0"
"1857","1","0","1"
"1858","1","0","1"
"1859","1","0","1"
"1860","2","0","2"
"1861","3","0","3"
"1862","1","0","1"
"1863","0","0","0"
"1864","1","0","1"
"1865","1","0","1"
"1866","0","0","0"
"1867","0","0","0"
"1868","2","0","2"
"1869","0","0","0"
"1870","1","0","1"
"1871","1","0","1"
"1872","0","0","0"
"1873","0","0","0"
"1874","1","0","1"
"1875","3","0","3"
"1876","1","0","1"
"1877","1","0","1"
"1878","0","0","0"
"1879","0","0","0"
"1880","0","0","0"
"1881","0","0","0"
"1882","0","0","0"
"1883","0","0","0"
"1884","2","1","1"
"1885","1","1","0"
"1886","0","0","0"
"1887","0","0","0"
"1888","1","0","1"
"1889","0","0","0"
"1890","0","0","0"
"1891","0","0","0"
"1892","0","0","0"
"1893","1","0","1"
"1894","0","0","0"
"1895","0","0","0"
"1896","0","0","0"
"1897","0","0","0"
"1898","2","1","1"
"1899","1","0","1"
"1900","2","0","2"
"1901","0","0","0"
"1902","1","0","1"
"1903","1","0","1"
"1904","0","0","0"
"1905","2","0","2"
"1906","1","0","1"
"1907","0","0","0"
"1908","3","1","2"
"1909","1","1","0"
"1910","0","0","0"
"1911","1","0","1"
"1912","1","0","1"
"1913","0","0","0"
