"key","doc_count","female","male"
"1674","0","0","0"
"1675","0","0","0"
"1676","0","0","0"
"1677","0","0","0"
"1678","0","0","0"
"1679","0","0","0"
"1680","0","0","0"
"1681","0","0","0"
"1682","0","0","0"
"1683","0","0","0"
"1684","0","0","0"
"1685","0","0","0"
"1686","0","0","0"
"1687","0","0","0"
"1688","0","0","0"
"1689","0","0","0"
"1690","0","0","0"
"1691","0","0","0"
"1692","0","0","0"
"1693","0","0","0"
"1694","0","0","0"
"1695","0","0","0"
"1696","0","0","0"
"1697","0","0","0"
"1698","0","0","0"
"1699","0","0","0"
"1700","0","0","0"
"1701","0","0","0"
"1702","0","0","0"
"1703","0","0","0"
"1704","0","0","0"
"1705","0","0","0"
"1706","0","0","0"
"1707","0","0","0"
"1708","0","0","0"
"1709","0","0","0"
"1710","0","0","0"
"1711","0","0","0"
"1712","0","0","0"
"1713","0","0","0"
"1714","0","0","0"
"1715","0","0","0"
"1716","0","0","0"
"1717","0","0","0"
"1718","0","0","0"
"1719","0","0","0"
"1720","0","0","0"
"1721","0","0","0"
"1722","0","0","0"
"1723","0","0","0"
"1724","0","0","0"
"1725","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1728","0","0","0"
"1729","0","0","0"
"1730","0","0","0"
"1731","0","0","0"
"1732","0","0","0"
"1733","0","0","0"
"1734","0","0","0"
"1735","0","0","0"
"1736","0","0","0"
"1737","0","0","0"
"1738","0","0","0"
"1739","0","0","0"
"1740","0","0","0"
"1741","0","0","0"
"1742","0","0","0"
"1743","0","0","0"
"1744","0","0","0"
"1745","0","0","0"
"1746","0","0","0"
"1747","0","0","0"
"1748","0","0","0"
"1749","0","0","0"
"1750","0","0","0"
"1751","0","0","0"
"1752","0","0","0"
"1753","0","0","0"
"1754","0","0","0"
"1755","0","0","0"
"1756","0","0","0"
"1757","0","0","0"
"1758","0","0","0"
"1759","0","0","0"
"1760","0","0","0"
"1761","0","0","0"
"1762","0","0","0"
"1763","0","0","0"
"1764","0","0","0"
"1765","0","0","0"
"1766","0","0","0"
"1767","0","0","0"
"1768","0","0","0"
"1769","0","0","0"
"1770","0","0","0"
"1771","0","0","0"
"1772","0","0","0"
"1773","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1776","0","0","0"
"1777","0","0","0"
"1778","0","0","0"
"1779","0","0","0"
"1780","0","0","0"
"1781","0","0","0"
"1782","0","0","0"
"1783","0","0","0"
"1784","0","0","0"
"1785","0","0","0"
"1786","0","0","0"
"1787","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1790","0","0","0"
"1791","0","0","0"
"1792","0","0","0"
"1793","0","0","0"
"1794","0","0","0"
"1795","0","0","0"
"1796","0","0","0"
"1797","0","0","0"
"1798","0","0","0"
"1799","0","0","0"
"1800","23","5","18"
"1801","25","0","25"
"1802","20","4","16"
"1803","15","0","15"
"1804","14","2","12"
"1805","26","5","21"
"1806","16","6","10"
"1807","24","5","19"
"1808","28","8","20"
"1809","24","8","16"
"1810","30","6","24"
"1811","28","8","20"
"1812","39","17","22"
"1813","39","5","34"
"1814","46","13","33"
"1815","19","2","17"
"1816","44","7","37"
"1817","42","7","35"
"1818","22","7","15"
"1819","38","9","29"
"1820","28","4","24"
"1821","20","0","20"
"1822","31","3","28"
"1823","12","2","10"
"1824","19","3","16"
"1825","22","2","20"
"1826","25","8","17"
"1827","33","9","24"
"1828","29","2","27"
"1829","23","6","17"
"1830","21","0","21"
"1831","28","5","23"
"1832","22","7","15"
"1833","16","2","14"
"1834","7","0","7"
"1835","11","0","11"
"1836","11","2","9"
"1837","8","1","7"
"1838","2","0","2"
"1839","1","0","1"
"1840","1","0","1"
"1841","0","0","0"
"1842","1","0","1"
"1843","3","1","2"
"1844","2","1","1"
"1845","1","0","1"
"1846","2","0","2"
"1847","4","0","4"
"1848","5","3","2"
"1849","1","0","1"
"1850","2","1","1"
"1851","1","0","1"
"1852","2","0","2"
"1853","4","0","4"
"1854","0","0","0"
"1855","5","1","4"
"1856","2","0","2"
"1857","1","0","1"
"1858","1","0","1"
"1859","4","0","4"
"1860","2","0","2"
"1861","1","0","1"
"1862","3","1","2"
"1863","1","0","1"
"1864","1","0","1"
"1865","1","0","1"
"1866","1","0","1"
"1867","2","0","2"
"1868","0","0","0"
"1869","1","0","1"
"1870","1","1","0"
"1871","0","0","0"
"1872","1","1","0"
"1873","0","0","0"
"1874","3","1","2"
"1875","1","0","1"
"1876","4","0","4"
"1877","0","0","0"
"1878","1","0","1"
"1879","4","0","4"
"1880","1","0","1"
"1881","1","0","1"
"1882","2","1","1"
"1883","2","0","2"
"1884","3","0","3"
"1885","2","0","2"
"1886","0","0","0"
"1887","2","0","2"
"1888","1","0","1"
"1889","0","0","0"
"1890","1","0","1"
"1891","2","1","1"
"1892","3","0","3"
"1893","2","1","1"
"1894","1","0","1"
"1895","1","0","1"
"1896","4","0","4"
"1897","2","0","2"
"1898","2","0","2"
"1899","3","1","2"
"1900","1","0","1"
"1901","2","0","2"
"1902","4","0","4"
"1903","2","0","2"
"1904","4","0","4"
"1905","4","0","4"
"1906","1","0","1"
"1907","1","0","1"
"1908","1","0","1"
"1909","2","0","2"
"1910","3","0","3"
"1911","5","1","4"
"1912","6","0","6"
"1913","0","0","0"
