"key","doc_count","female","male"
"1674","0","0","0"
"1675","0","0","0"
"1676","0","0","0"
"1677","0","0","0"
"1678","0","0","0"
"1679","0","0","0"
"1680","0","0","0"
"1681","0","0","0"
"1682","0","0","0"
"1683","0","0","0"
"1684","0","0","0"
"1685","0","0","0"
"1686","0","0","0"
"1687","0","0","0"
"1688","0","0","0"
"1689","0","0","0"
"1690","0","0","0"
"1691","0","0","0"
"1692","0","0","0"
"1693","0","0","0"
"1694","0","0","0"
"1695","0","0","0"
"1696","0","0","0"
"1697","0","0","0"
"1698","0","0","0"
"1699","0","0","0"
"1700","0","0","0"
"1701","0","0","0"
"1702","0","0","0"
"1703","0","0","0"
"1704","0","0","0"
"1705","0","0","0"
"1706","0","0","0"
"1707","0","0","0"
"1708","0","0","0"
"1709","0","0","0"
"1710","0","0","0"
"1711","0","0","0"
"1712","0","0","0"
"1713","0","0","0"
"1714","0","0","0"
"1715","0","0","0"
"1716","0","0","0"
"1717","0","0","0"
"1718","0","0","0"
"1719","0","0","0"
"1720","0","0","0"
"1721","0","0","0"
"1722","0","0","0"
"1723","0","0","0"
"1724","0","0","0"
"1725","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1728","0","0","0"
"1729","0","0","0"
"1730","0","0","0"
"1731","0","0","0"
"1732","0","0","0"
"1733","0","0","0"
"1734","0","0","0"
"1735","0","0","0"
"1736","0","0","0"
"1737","0","0","0"
"1738","0","0","0"
"1739","0","0","0"
"1740","0","0","0"
"1741","0","0","0"
"1742","0","0","0"
"1743","0","0","0"
"1744","0","0","0"
"1745","0","0","0"
"1746","0","0","0"
"1747","0","0","0"
"1748","0","0","0"
"1749","0","0","0"
"1750","0","0","0"
"1751","0","0","0"
"1752","0","0","0"
"1753","0","0","0"
"1754","0","0","0"
"1755","0","0","0"
"1756","0","0","0"
"1757","0","0","0"
"1758","0","0","0"
"1759","0","0","0"
"1760","0","0","0"
"1761","0","0","0"
"1762","0","0","0"
"1763","0","0","0"
"1764","0","0","0"
"1765","0","0","0"
"1766","0","0","0"
"1767","0","0","0"
"1768","0","0","0"
"1769","0","0","0"
"1770","0","0","0"
"1771","0","0","0"
"1772","0","0","0"
"1773","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1776","0","0","0"
"1777","0","0","0"
"1778","0","0","0"
"1779","0","0","0"
"1780","0","0","0"
"1781","0","0","0"
"1782","0","0","0"
"1783","0","0","0"
"1784","0","0","0"
"1785","0","0","0"
"1786","0","0","0"
"1787","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1790","0","0","0"
"1791","0","0","0"
"1792","0","0","0"
"1793","0","0","0"
"1794","0","0","0"
"1795","0","0","0"
"1796","0","0","0"
"1797","0","0","0"
"1798","0","0","0"
"1799","0","0","0"
"1800","40","2","38"
"1801","34","4","30"
"1802","37","2","35"
"1803","27","6","21"
"1804","25","6","19"
"1805","28","4","24"
"1806","24","2","22"
"1807","31","3","28"
"1808","30","4","26"
"1809","34","4","30"
"1810","31","4","27"
"1811","39","6","33"
"1812","51","8","43"
"1813","45","4","41"
"1814","51","3","48"
"1815","36","8","28"
"1816","75","11","64"
"1817","67","4","63"
"1818","69","6","63"
"1819","60","10","50"
"1820","67","6","61"
"1821","45","5","40"
"1822","40","6","34"
"1823","35","6","29"
"1824","39","5","34"
"1825","50","8","42"
"1826","54","7","47"
"1827","81","9","72"
"1828","66","5","61"
"1829","52","5","47"
"1830","52","10","42"
"1831","63","11","52"
"1832","56","4","52"
"1833","39","1","38"
"1834","15","0","15"
"1835","14","0","14"
"1836","27","0","27"
"1837","20","2","18"
"1838","1","1","0"
"1839","2","0","2"
"1840","2","0","2"
"1841","4","1","3"
"1842","3","1","2"
"1843","5","0","5"
"1844","1","0","1"
"1845","4","1","3"
"1846","1","0","1"
"1847","3","1","2"
"1848","2","1","1"
"1849","3","1","2"
"1850","0","0","0"
"1851","1","0","1"
"1852","1","0","1"
"1853","0","0","0"
"1854","1","0","1"
"1855","0","0","0"
"1856","7","2","5"
"1857","2","0","2"
"1858","1","0","1"
"1859","4","0","4"
"1860","2","1","1"
"1861","3","0","3"
"1862","1","0","1"
"1863","1","0","1"
"1864","9","1","8"
"1865","1","0","1"
"1866","0","0","0"
"1867","0","0","0"
"1868","1","0","1"
"1869","2","0","2"
"1870","1","0","1"
"1871","1","0","1"
"1872","3","2","1"
"1873","0","0","0"
"1874","1","0","1"
"1875","2","1","1"
"1876","3","1","2"
"1877","6","1","5"
"1878","0","0","0"
"1879","3","2","1"
"1880","2","0","2"
"1881","1","0","1"
"1882","2","0","2"
"1883","3","0","3"
"1884","2","0","2"
"1885","2","0","2"
"1886","1","0","1"
"1887","1","0","1"
"1888","0","0","0"
"1889","0","0","0"
"1890","3","1","2"
"1891","0","0","0"
"1892","2","0","2"
"1893","2","0","2"
"1894","2","1","1"
"1895","1","1","0"
"1896","3","0","3"
"1897","0","0","0"
"1898","1","0","1"
"1899","3","0","3"
"1900","2","1","1"
"1901","4","0","4"
"1902","3","1","2"
"1903","2","1","1"
"1904","4","0","4"
"1905","3","0","3"
"1906","1","0","1"
"1907","3","0","3"
"1908","2","0","2"
"1909","6","1","5"
"1910","2","0","2"
"1911","3","0","3"
"1912","1","0","1"
"1913","0","0","0"
